level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
4	1	1	1	18	0	88	726	949	37	-1	
5	1	1	1	18	1	88	726	99	23	92.537704	another
5	1	1	1	18	2	266	728	56	28	88.752647	[adj.]
5	1	1	1	18	3	348	728	11	23	92.729340	另
5	1	1	1	18	4	374	727	33	24	96.962265	一
5	1	1	1	18	5	424	732	3	19	93.148552	個
5	1	1	1	18	6	427	723	11	42	91.276001	;
5	1	1	1	18	7	452	729	79	27	90.474747	[pron.]
5	1	1	1	18	8	553	728	14	23	93.117828	另
5	1	1	1	18	9	579	728	24	23	87.733902	一
5	1	1	1	18	10	605	728	14	23	96.391617	個
5	1	1	1	18	11	916	749	68	14	86.117561	101112
5	1	1	1	18	12	994	749	16	14	92.637749	13
5	1	1	1	18	13	1020	749	17	14	93.170303	14
4	1	1	1	19	0	88	788	949	41	-1	
5	1	1	1	19	1	88	810	93	15	51.683178	answer
5	1	1	1	19	2	266	805	30	24	55.585899	wv)
5	1	1	1	19	3	313	803	62	24	56.427155	BIS:
5	1	1	1	19	4	401	805	5	24	47.261398	lu
5	1	1	1	19	5	452	803	48	24	20.331039	和
5	1	1	1	19	6	914	788	18	14	92.155067	05
5	1	1	1	19	7	942	788	17	14	92.155067	06
5	1	1	1	19	8	968	788	17	14	95.693459	07
5	1	1	1	19	9	994	788	17	14	89.032715	08
5	1	1	1	19	10	1020	788	17	14	89.032715	09
4	1	1	1	20	0	272	805	765	34	-1	
5	1	1	1	20	1	272	805	17	30	58.859863	Vv.
5	1	1	1	20	2	341	818	14	9	80.245323	合
5	1	1	1	20	3	372	819	3	8	85.689156	,
5	1	1	1	20	4	407	811	22	14	31.166405	[N.}
5	1	1	1	20	5	457	818	42	9	22.230240	eras
5	1	1	1	20	6	916	825	17	14	74.361420	10
5	1	1	1	20	7	942	825	14	14	56.179256	11
5	1	1	1	20	8	968	825	69	14	56.179256	1213
5	1	1	1	20	9	1017	818	23	30	80.016579	14
4	1	1	1	21	0	914	864	123	14	-1	
5	1	1	1	21	1	914	864	18	14	92.155067	05
5	1	1	1	21	2	940	864	19	14	92.155067	06
5	1	1	1	21	3	966	864	19	14	95.693459	07
5	1	1	1	21	4	992	864	19	14	89.032715	08
5	1	1	1	21	5	1018	864	19	14	89.032715	09
4	1	1	1	22	0	88	879	949	36	-1	
5	1	1	1	22	1	88	886	38	15	97.006104	are
5	1	1	1	22	2	266	881	30	24	29.774582	lv.]
5	1	1	1	22	3	312	890	22	13	93.223846	是
5	1	1	1	22	4	346	887	4	7	89.150871	,
5	1	1	1	22	5	362	879	22	24	91.875572	在
5	1	1	1	22	6	916	901	121	14	85.973015	1011121314
4	1	1	1	23	0	115	940	922	37	-1	
5	1	1	1	23	1	115	954	16	23	0.000000	1
5	1	1	1	23	2	914	940	18	14	92.918762	05
5	1	1	1	23	3	940	940	19	14	93.112297	06
5	1	1	1	23	4	966	940	19	14	92.879616	07
5	1	1	1	23	5	992	940	19	14	93.107224	08
5	1	1	1	23	6	1018	940	19	14	92.131050	09
4	1	1	1	24	0	88	957	949	35	-1	
5	1	1	1	24	1	88	962	25	15	95.632858	as
5	1	1	1	24	2	266	958	30	24	0.367203	基
5	1	1	1	24	3	288	953	15	38	55.046482	]
5	1	1	1	24	4	313	957	21	23	86.740227	問
5	1	1	1	24	5	916	978	121	14	79.044746	1011121314
4	1	1	1	25	0	914	1016	123	14	-1	
5	1	1	1	25	1	910	1001	22	39	92.918762	05
5	1	1	1	25	2	941	1001	21	39	93.112297	06
5	1	1	1	25	3	968	1001	20	39	92.879616	07
5	1	1	1	25	4	995	1001	18	39	93.107224	08
5	1	1	1	25	5	1019	1001	18	39	92.131050	09
4	1	1	1	26	0	88	1032	949	36	-1	
5	1	1	1	26	1	88	1033	23	20	96.602600	at
5	1	1	1	26	2	266	1034	75	27	91.294006	[prep.]
5	1	1	1	26	3	358	1032	22	24	95.220818	在
5	1	1	1	26	4	916	1054	68	14	75.007942	101112
5	1	1	1	26	5	994	1054	16	14	76.163239	13
5	1	1	1	26	6	1020	1054	17	14	93.119057	14
4	1	1	1	27	0	914	1092	123	14	-1	
5	1	1	1	27	1	914	1092	18	14	92.918762	05
5	1	1	1	27	2	940	1092	19	14	93.112297	06
5	1	1	1	27	3	966	1092	19	14	92.879616	07
